"ID","X","Y","Elevation","Distance (Segment)","Distance (Total)","Distance 3D (Segment)","Distance 3D (Total)","Slope (Degrees)","Slope (Percent)","Segment Index"
625,17.8163930167,-16.5098354427,1120.41,961.5,602880.8,961.5,602881.3,0.1,0.1%,877
626,17.8163653794,-16.5007991110,1120.225,1000,603880.8,1000,603881.3,0.0,0.0%,877
627,17.8163377422,-16.4917627793,1120.079,1000,604880.8,1000,604881.3,0.0,0.0%,877
628,17.8163101676,-16.4827264470,1120.295,1000,605880.8,1000,605881.3,0.0,0.0%,878
629,17.8139611297,-16.4742028273,1121.613,976.03,606856.9,976.03,606857.3,0.1,0.1%,879
630,17.8099135518,-16.4660540084,1121.597,1000,607856.9,1000,607857.3,0.0,0.0%,879
631,17.8035241870,-16.4597981982,1121.043,972,608828.9,972,608829.3,0.0,0.1%,880
632,17.7948578695,-16.4565232500,1122.605,993.88,609822.8,993.89,609823.2,0.1,0.2%,881
633,17.7870515301,-16.4518427622,1121.656,981.44,610804.2,981.44,610804.6,0.1,0.1%,882
634,17.7820798377,-16.4442332831,1119.893,995.5,611799.7,995.5,611800.1,0.1,0.2%,883
635,17.7807269885,-16.4353581558,1122.874,992.72,612792.4,992.73,612792.9,0.2,0.3%,884
636,17.7797116356,-16.4263750164,1123.266,1000,613792.4,1000,613792.9,0.0,0.0%,884
637,17.7726926949,-16.4218011712,1122.375,904.54,614697,904.54,614697.4,0.1,0.1%,885
638,17.7657187681,-16.4161481291,1122.17,972.72,615669.7,972.72,615670.1,0.0,0.0%,886
639,17.7613373425,-16.4081795987,1122.005,998.31,616668,998.31,616668.4,0.0,0.0%,887
640,17.7570792835,-16.4001319158,1123.603,1000,617668,1000,617668.4,0.1,0.2%,887
641,17.7518722652,-16.3926807712,1123.263,994.63,618662.6,994.63,618663.1,0.0,0.0%,888
642,17.7455068745,-16.3861460039,1123.469,992.64,619655.3,992.64,619655.7,0.0,0.0%,890
643,17.7381733845,-16.3807567428,1123.995,984.6,620639.9,984.6,620640.3,0.0,0.1%,891
644,17.7362648472,-16.3719980042,1122.067,990.48,621630.3,990.48,621630.8,0.1,0.2%,892
645,17.7296299192,-16.3658460730,1123.087,982.82,622613.2,982.82,622613.6,0.1,0.1%,893
646,17.7219697145,-16.3606533237,1122.525,1000,623613.2,1000,623613.6,0.0,0.1%,893
647,17.7161086341,-16.3539529697,1124.362,970.53,624583.7,970.53,624584.1,0.1,0.2%,895
648,17.7151416345,-16.3450208258,1125.115,993.84,625577.5,993.84,625578,0.0,0.1%,896
649,17.7133230168,-16.3362676848,1125.103,987.94,626565.5,987.94,626565.9,0.0,0.0%,897
650,17.7115568594,-16.3276959245,1124.976,967.16,627532.6,967.16,627533.1,0.0,0.0%,898
651,17.7037535892,-16.3227416947,1123.843,997.94,628530.6,997.94,628531,0.1,0.1%,899
652,17.6988600625,-16.3153272605,1126.052,972.97,629503.5,972.98,629504,0.1,0.2%,901
653,17.6963758627,-16.3066149873,1123.948,1000,630503.5,1000,630504,0.1,0.2%,901
654,17.6892855492,-16.3010867975,1125.919,973.88,631477.4,973.88,631477.9,0.1,0.2%,903
655,17.6868691840,-16.2924470285,1127.682,990.36,632467.8,990.36,632468.2,0.1,0.2%,904
656,17.6879403289,-16.2835826849,1127.154,987.6,633455.4,987.6,633455.8,0.0,0.1%,906
657,17.6870073790,-16.2746748516,1124.209,990.79,634446.2,990.79,634446.6,0.2,0.3%,907
