Name,Latitude,Longitude
Bitterwasser,-23.80148127,17.92028846
Nkure,-17.67745842,18.60161204
Okarutuo,-21.12310456,17.96700258
Okatjawewa,-20.90416623,18.14641023
Okatjipiko,-22.2634339,18.44601936
Otjitjika,-19.4325608,18.37539711
Schlangenkopf,-26.73846821,17.86702595
Schroffenstein,-27.18108309,18.72911025
Schwarzeck,-22.760358,18.67529317
Swartmodder,-24.36000555,18.13021195
Uhabis,-28.37939384,17.66594028
Uitsab,-19.53370047,17.85607617
Una,-19.0500226,18.01947449
Witberg,-28.75230947,18.07396396
Ysib,-26.02000834,18.06086631
