Name,Latitude,Longitude
Aukeigas,-22.55411011,16.94896385
Christo,-22.39078998,17.01123592
Kaiser-Wilhelm-Berg,-22.61672821,17.0264669
Moltkeblick,-22.65078336,17.17928162
Wachter,-22.4772371,17.12654969
FTSM001,-22.54599663,17.07776298
FTSM002,-22.56328647,17.04490896
FTSM003,-22.56326032,17.00112945
FTSM004,-22.51958903,17.07721941
FTSM005,-22.47252494,17.07666929
Friedensberg,-24.17003791,16.22500031
Enana,-17.48119964,16.33537583
Oasib,-19.61796801,16.84703419
Uitsab,-19.53370046,17.85607617
Etjo,-21.11541158,16.46656674
Omarurufelsen,-21.43156192,15.99961785
Omatako,-21.20312176,16.71197796
Okarutuo,-21.12310456,17.96700257
Kupferberg,-22.65660681,16.92668366
Gr.Schanzberg,-23.35161644,16.21317395
Bitterwasser,-23.80148127,17.92028846
Remmhohe,-25.61303238,16.8023154
Kububerhohe,-26.71463706,16.22311068
Schlangenkopf,-26.73846821,17.86702595
Chamnaub,-27.73271947,16.08785402
Uhabis,-28.37939383,17.66594027
Schlangenkopf,-26.73847412,17.86703222
Grossherzog-Friedrich-Berg,-22.70956199,17.06069822
Liebenstein,-22.73398015,17.03482753
