Name,Latitude,Longitude
Nkure,-17.67745841,18.60161204
Utokota,-17.91900066,19.98382926
Otjitjika,-19.4325608,18.37539711
Una,-19.05002261,18.01947448
Vergesig,-19.27720534,19.46241534
Okatjawewa,-20.90416623,18.14641022
Eiseb,-20.61744373,20.08435787
Maramba,-21.08902422,19.94223045
Okatjipiko,-22.2634339,18.44601936
Schwarzeck,-22.760358,18.67529316
Naunas,-22.72259077,19.99303151
Swartmodder,-24.36000555,18.13021195
Jagkop,-24.10673972,19.41484965
Kraat,-25.01964247,18.92149823
Kameel,-25.65792903,19.62412093
Ysib,-26.02000835,18.06086631
Schroffenstein,-27.18108309,18.72911025
Witberg,-28.75230946,18.07396396
Nakop,-28.04973216,19.91099164
