"ID","X","Y","Elevation","Distance (Segment)","Distance (Total)","Distance 3D (Segment)","Distance 3D (Total)","Slope (Degrees)","Slope (Percent)","Segment Index"
228,13.4329975714,-17.0054226330,652.463,966.24,217380.1,966.24,217396.7,0.2,0.4%,219
229,13.4418231029,-17.0079873879,654.592,981.69,218361.8,981.69,218378.4,0.1,0.2%,220
230,13.4510091391,-17.0098664794,653.321,1000,219361.8,1000,219378.4,0.1,0.1%,220
231,13.4602875989,-17.0107708974,654.636,993.03,220354.8,993.03,220371.4,0.1,0.1%,221
232,13.4662111761,-17.0160073280,656.343,856.54,221211.4,856.54,221228,0.1,0.2%,222
233,13.4717849137,-17.0229175305,658.016,968.01,222179.4,968.01,222196,0.1,0.2%,223
234,13.4776345057,-17.0296224849,660.596,968.77,223148.1,968.77,223164.8,0.2,0.3%,224
235,13.4820296611,-17.0376040783,661.279,999.61,224147.8,999.61,224164.4,0.0,0.1%,225
236,13.4865209194,-17.0455322368,664.021,999.23,225147,999.24,225163.6,0.2,0.3%,226
237,13.4904833365,-17.0537248983,668.447,1000,226147,1000,226163.6,0.3,0.4%,227
238,13.4944459354,-17.0619175046,668.805,1000,227147,1000,227163.6,0.0,0.0%,227
239,13.4988031257,-17.0698475601,670.039,992.64,228139.6,992.64,228156.3,0.1,0.1%,228
240,13.5053771393,-17.0763025999,671.616,1000,229139.6,1000,229156.3,0.1,0.2%,228
241,13.5120128834,-17.0826922036,672.645,999.46,230139.1,999.46,230155.7,0.1,0.1%,229
242,13.5193338946,-17.0883554042,672.7,1000,231139.1,1000,231155.8,0.0,0.0%,229
243,13.5241656415,-17.0950550797,678.216,902.34,232041.5,902.36,232058.1,0.4,0.6%,230
244,13.5234497731,-17.1040646601,677.926,1000,233041.5,1000,233058.1,0.0,0.0%,230
245,13.5205364517,-17.1124598953,680.852,979.47,234020.9,979.48,234037.6,0.2,0.3%,231
246,13.5161173945,-17.1204341696,684.915,1000,235020.9,1000,235037.6,0.2,0.4%,231
247,13.5081244567,-17.1249786946,682.707,988.15,236009.1,988.15,236025.7,0.1,0.2%,232
248,13.5117023527,-17.1326329800,683.173,928.73,236937.8,928.73,236954.5,0.0,0.1%,233
249,13.5178288093,-17.1390171095,689.084,961.34,237899.1,961.36,237915.8,0.4,0.6%,234
250,13.5260474970,-17.1433993850,697.772,1000,238899.1,1000,238915.9,0.5,0.9%,234
251,13.5352831381,-17.1444794310,701.144,989.95,239889.1,989.96,239905.8,0.2,0.3%,236
252,13.5441374900,-17.1474680490,702.017,998.5,240887.6,998.5,240904.3,0.1,0.1%,237
253,13.5517115726,-17.1527292818,702,994.23,241881.8,994.23,241898.6,0.0,0.0%,238
254,13.5590942087,-17.1583211873,701.021,1000,242881.8,1000,242898.6,0.1,0.1%,238
255,13.5667897570,-17.1634907251,702.01,998.85,243880.7,998.85,243897.4,0.1,0.1%,239
256,13.5747058698,-17.1683625457,702.458,1000,244880.7,1000,244897.4,0.0,0.0%,239
257,13.5826219826,-17.1732343664,707.969,999.99,245880.7,1000,245897.4,0.3,0.6%,239
258,13.5904218493,-17.1782702619,706.045,999.59,246880.3,999.59,246897,0.1,0.2%,240
259,13.5980275293,-17.1835802412,705.241,1000,247880.3,1000,247897,0.0,0.1%,240
260,13.6056332093,-17.1888902205,709.788,999.99,248880.3,1000,248897,0.3,0.5%,240
261,13.6117480635,-17.1956741166,707.588,993.38,249873.6,993.38,249890.4,0.1,0.2%,241
262,13.6190784973,-17.2013057265,712.706,998.24,250871.9,998.25,250888.6,0.3,0.5%,242
263,13.6273946054,-17.2053114145,713.464,989.46,251861.3,989.46,251878.1,0.0,0.1%,243
264,13.6356465478,-17.2091984942,713.977,977.49,252838.8,977.49,252855.6,0.0,0.1%,244
265,13.6414484185,-17.2163085415,711.39,1000,253838.8,1000,253855.6,0.1,0.3%,244
266,13.6472502891,-17.2234185889,718.68,999.99,254838.8,1000,254855.6,0.4,0.7%,244
267,13.6551746788,-17.2282326756,715.864,997.1,255835.9,997.1,255852.7,0.2,0.3%,245
268,13.6628811371,-17.2333777110,716.139,998,256833.9,998,256850.7,0.0,0.0%,246
269,13.6702302039,-17.2390141560,722.369,1000,257833.9,1000,257850.7,0.4,0.6%,246
270,13.6776866175,-17.2445183795,713.798,999.95,258833.9,999.98,258850.7,0.5,0.9%,247
271,13.6864951280,-17.2470163312,717.859,976.69,259810.5,976.7,259827.4,0.2,0.4%,248
272,13.6948374136,-17.2452137174,722.515,909.32,260719.9,909.33,260736.8,0.3,0.5%,250
273,13.7008730008,-17.2521426277,728.645,1000,261719.9,1000,261736.8,0.4,0.6%,250
274,13.7073874488,-17.2585433428,729.27,990.81,262710.7,990.81,262727.6,0.0,0.1%,251
275,13.7153595923,-17.2633361837,725.538,1000,263710.7,1000,263727.6,0.2,0.4%,251
276,13.7233317358,-17.2681290247,727.419,999.99,264710.7,999.99,264727.6,0.1,0.2%,251
277,13.7322176726,-17.2673814149,720.747,948.49,265659.2,948.51,265676.1,0.4,0.7%,252
278,13.7399367093,-17.2723229769,723.273,986.29,266645.5,986.3,266662.4,0.1,0.3%,253
279,13.7474292846,-17.2777766520,724.302,999.5,267645,999.5,267661.9,0.1,0.1%,254
280,13.7547274358,-17.2834758924,724.001,1000,268645,1000,268661.9,0.0,0.0%,254
281,13.7624343827,-17.2885897769,725.921,995.88,269640.8,995.88,269657.8,0.1,0.2%,256
282,13.7711309612,-17.2920313989,728.846,1000,270640.8,1000,270657.8,0.2,0.3%,256
283,13.7789440641,-17.2964090321,725.071,961.64,271602.5,961.64,271619.4,0.2,0.4%,257
284,13.7837377288,-17.3040267495,723.222,985.14,272587.6,985.14,272604.6,0.1,0.2%,258
285,13.7920008636,-17.3083440627,725.435,1000,273587.6,1000,273604.6,0.1,0.2%,258
286,13.8006966856,-17.3110551609,727.445,971.92,274559.5,971.92,274576.5,0.1,0.2%,260
287,13.8078785152,-17.3168907271,728.439,1000,275559.5,1000,275576.5,0.1,0.1%,261
288,13.8154815889,-17.3220615558,726.052,990.32,276549.9,990.32,276566.8,0.1,0.2%,262
289,13.8241788186,-17.3255051853,728.99,1000,277549.9,1000,277566.8,0.2,0.3%,262
290,13.8333204208,-17.3274691770,726.343,995.76,278545.6,995.77,278562.6,0.2,0.3%,263
291,13.8410252300,-17.3325486771,730.741,993.37,279539,993.38,279556,0.3,0.4%,264
292,13.8486160973,-17.3378861739,729.344,999.99,280539,999.99,280556,0.1,0.1%,264
293,13.8568206858,-17.3423011727,728.338,999.64,281538.6,999.64,281555.6,0.1,0.1%,265
294,13.8658090069,-17.3429436867,728.612,958.02,282496.7,958.02,282513.6,0.0,0.0%,266
295,13.8736220068,-17.3461805416,730.376,904.41,283401.1,904.41,283418.1,0.1,0.2%,267
296,13.8808529894,-17.3519444212,741.785,998.8,284399.9,998.87,284416.9,0.7,1.1%,268
297,13.8882680742,-17.3575062365,734.112,1000,285399.9,1000,285416.9,0.4,0.8%,268
298,13.8965131343,-17.3610890461,732.659,961.83,286361.7,961.83,286378.8,0.1,0.2%,269
299,13.9009314563,-17.3678046001,731.055,879.14,287240.8,879.14,287257.9,0.1,0.2%,270
300,13.9070717768,-17.3736078423,740.331,915.61,288156.4,915.65,288173.6,0.6,1.0%,271
301,13.9156219449,-17.3773808619,750.226,1000,289156.4,1000,289173.6,0.6,1.0%,271
302,13.9137362068,-17.3852390813,740.065,892.48,290048.9,892.54,290066.2,0.7,1.1%,272
303,13.9195821187,-17.3918038962,750.576,955.92,291004.8,955.98,291022.1,0.6,1.1%,273
304,13.9269530232,-17.3972722913,744.414,989.82,291994.7,989.83,292012,0.4,0.6%,274
305,13.9274474580,-17.4053554962,754.991,896.14,292890.8,896.2,292908.2,0.7,1.2%,276
306,13.9291933436,-17.4128505746,751.319,850,293740.8,850.01,293758.2,0.2,0.4%,277
307,13.9368399851,-17.4177488254,756.089,976.7,294717.5,976.71,294734.9,0.3,0.5%,278
308,13.9437310759,-17.4238074908,759.313,992.8,295710.3,992.81,295727.7,0.2,0.3%,279
309,13.9510006570,-17.4294453685,759.577,992.89,296703.2,992.89,296720.6,0.0,0.0%,280
310,13.9594517263,-17.4320734297,756.841,943.78,297647,943.78,297664.4,0.2,0.3%,281
311,13.9687161464,-17.4304861812,759.54,999.8,298646.8,999.8,298664.2,0.2,0.3%,282
312,13.9779204195,-17.4285955542,759.08,1000,299646.8,1000,299664.2,0.0,0.0%,283
313,13.9861350076,-17.4313189002,760.713,923.3,300570.1,923.3,300587.5,0.1,0.2%,285
314,13.9952820973,-17.4311340628,758.72,972,301542.1,972,301559.5,0.1,0.2%,286
315,14.0035625487,-17.4274525303,758.216,969.49,302511.6,969.49,302529,0.0,0.1%,287
316,14.0081933474,-17.4196498036,761.262,993.88,303505.4,993.88,303522.9,0.2,0.3%,288
317,14.0163046200,-17.4152730593,759.832,988.6,304494,988.6,304511.5,0.1,0.1%,290
318,14.0254545277,-17.4154466308,764.785,972.35,305466.4,972.37,305483.8,0.3,0.5%,291
319,14.0344136467,-17.4182096682,762.23,999.8,306466.2,999.8,306483.6,0.1,0.3%,292
320,14.0430961745,-17.4203411576,763.053,952.17,307418.4,952.17,307435.8,0.0,0.1%,294
321,14.0508491572,-17.4199492751,763.046,824.86,308243.2,824.86,308260.7,0.0,0.0%,295
322,14.0556323985,-17.4276110854,766.514,988.58,309231.8,988.59,309249.2,0.2,0.4%,296
323,14.0643265569,-17.4277849720,767.156,923.88,310155.7,923.88,310173.1,0.0,0.1%,298
324,14.0731982757,-17.4307828620,768.25,999.23,311154.9,999.23,311172.4,0.1,0.1%,299
325,14.0820208766,-17.4324394161,773.41,955.07,312110,955.08,312127.4,0.3,0.5%,300
326,14.0911473186,-17.4332031760,769.155,973.26,313083.2,973.27,313100.7,0.3,0.4%,301
327,14.1000842043,-17.4360400364,770.849,1000,314083.2,1000,314100.7,0.1,0.2%,301
328,14.1081945944,-17.4344732464,773.174,878.9,314962.1,878.9,314979.6,0.2,0.3%,303
329,14.1126406823,-17.4265884385,774.928,992.28,315954.4,992.28,315971.9,0.1,0.2%,304
330,14.1201097681,-17.4217094587,772.527,959.83,316914.2,959.84,316931.7,0.1,0.3%,306
331,14.1249078129,-17.4292361641,776.659,976.61,317890.8,976.61,317908.3,0.2,0.4%,307
332,14.1337839517,-17.4307205392,774.791,957.2,318848,957.21,318865.5,0.1,0.2%,308
333,14.1429169045,-17.4296572148,779.013,977.39,319825.4,977.4,319842.9,0.2,0.4%,309
334,14.1516864106,-17.4283281804,773.127,943.22,320768.7,943.24,320786.2,0.4,0.6%,311
335,14.1574238066,-17.4233085300,775.897,824.73,321593.4,824.74,321610.9,0.2,0.3%,313
336,14.1638257175,-17.4173158160,778.541,950.01,322543.4,950.01,322560.9,0.2,0.3%,314
337,14.1728513421,-17.4149826813,780.582,993.11,323536.5,993.11,323554,0.1,0.2%,316
338,14.1819625284,-17.4128674242,779.275,995.96,324532.5,995.96,324550,0.1,0.1%,317
339,14.1907820784,-17.4107270409,777.767,966.56,325499,966.56,325516.6,0.1,0.2%,318
340,14.2000321118,-17.4123945827,778.599,1000,326499,1000,326516.6,0.0,0.1%,318
341,14.2090240869,-17.4105070886,775.761,977.97,327477,977.98,327494.5,0.2,0.3%,319
342,14.2176750225,-17.4070016710,771.794,997.7,328474.7,997.71,328492.3,0.2,0.4%,320
343,14.2194327837,-17.3991245932,776.62,891.57,329366.3,891.58,329383.8,0.3,0.5%,322
344,14.2136683708,-17.3938065422,803.266,849.47,330215.8,849.89,330233.7,1.8,3.1%,326
345,14.2186020885,-17.3890135831,838.56,745.81,330961.6,746.65,330980.4,2.7,4.7%,330
346,14.2256833487,-17.3858246200,896.696,831.14,331792.7,833.17,331813.5,4.0,7.0%,333
347,14.2303290420,-17.3781706276,902.596,980.46,332773.2,980.47,332794,0.3,0.6%,334
348,14.2354273078,-17.3706839017,905.761,990,333763.2,990,333784,0.2,0.3%,335
349,14.2441165000,-17.3675613833,913.767,985.99,334749.2,986.02,334770,0.5,0.8%,336
350,14.2530317904,-17.3646770949,915.899,999.82,335749,999.82,335769.9,0.1,0.2%,337
351,14.2609820834,-17.3599311636,927.431,994.9,336743.9,994.97,336764.8,0.7,1.2%,338
352,14.2688031025,-17.3550021709,944.463,994.25,337738.1,994.39,337759.2,1.0,1.7%,339
353,14.2781598344,-17.3540530947,954.142,1000,338738.1,1000,338759.3,0.6,1.0%,339
354,14.2875408939,-17.3535799891,958.381,998.43,339736.5,998.44,339757.7,0.2,0.4%,340
355,14.2969494013,-17.3536439047,971.349,1000,340736.5,1000.1,340757.8,0.7,1.3%,340
356,14.3060703651,-17.3515260181,974.63,997.35,341733.9,997.36,341755.2,0.2,0.3%,341
357,14.3140492430,-17.3469956411,979.253,985.18,342719.1,985.19,342740.3,0.3,0.5%,342
358,14.3212780271,-17.3413773944,985.094,988.42,343707.5,988.44,343728.8,0.3,0.6%,344
359,14.3304217069,-17.3397770084,993.121,987.9,344695.4,987.94,344716.7,0.5,0.8%,345
360,14.3393282589,-17.3377002239,998.421,974.2,345669.6,974.22,345690.9,0.3,0.5%,346
361,14.3462277852,-17.3317047946,1002.88,989,346658.6,989.01,346679.9,0.3,0.5%,347
362,14.3526105199,-17.3251768746,1011.113,991.1,347649.7,991.14,347671.1,0.5,0.8%,349
363,14.3612770514,-17.3219619169,1017.518,987.59,348637.3,987.61,348658.7,0.4,0.6%,350
364,14.3705996430,-17.3207534454,1026.062,1000,349637.3,1000,349658.7,0.5,0.9%,350
